
ВРЕМЯ: 0

Результат в узлах (веса):
 ___________________________________________________________________ 
| № элемента     | x              | y              | z              | u*             | 
| 209            | -0.0298653     | -0.284149      | 5              | 0              | 
| 210            | -0.0895958     | -0.852447      | 5              | 0              | 
| 211            | -0.209057      | -1.98904       | 5              | 0              | 
| 212            | -0.287453      | -2.73494       | 5              | 0              | 
| 213            | -0.522642      | -4.97261       | 5              | 0              | 
| 214            | 0.0882906      | -0.27173       | 5              | 0              | 
| 215            | 0.264872       | -0.815191      | 5              | 0              | 
| 216            | 0.618034       | -1.90211       | 5              | 0              | 
| 217            | 0.849797       | -2.61541       | 5              | 0              | 
| 218            | 1.54508        | -4.75528       | 5              | 0              | 
| 219            | 0.19118        | -0.212327      | 5              | 0              | 
| 220            | 0.573541       | -0.636981      | 5              | 0              | 
| 221            | 1.33826        | -1.48629       | 5              | 0              | 
| 222            | 1.84011        | -2.04365       | 5              | 0              | 
| 223            | 3.34565        | -3.71572       | 5              | 0              | 
| 224            | 0.261013       | -0.11621       | 5              | 0              | 
| 225            | 0.783039       | -0.348631      | 5              | 0              | 
| 226            | 1.82709        | -0.813473      | 5              | 0              | 
| 227            | 2.51225        | -1.11853       | 5              | 0              | 
| 228            | 4.56773        | -2.03368       | 5              | 0              | 

ВРЕМЯ: 4

Результат в узлах (веса):
 ___________________________________________________________________ 
| № элемента     | x              | y              | z              | u*             | 
|----------------|----------------|----------------|----------------|----------------|
| 1              | 0              | 0              | 0              | 0              | 
| 2              | 0.285714       | 0              | 0              | 0              | 
| 3              | 0.857143       | 0              | 0              | 0              | 
| 4              | 2              | 0              | 0              | 0              | 
| 5              | 2.75           | 0              | 0              | 0              | 
| 6              | 5              | 0              | 0              | 0              | 
| 7              | 0.261013       | 0.11621        | 0              | 0              | 
| 8              | 0.783039       | 0.348631       | 0              | 0              | 
| 9              | 1.82709        | 0.813473       | 0              | 0              | 
| 10             | 2.51225        | 1.11853        | 0              | 0              | 
| 11             | 4.56773        | 2.03368        | 0              | 0              | 
| 12             | 0.19118        | 0.212327       | 0              | 0              | 
| 13             | 0.573541       | 0.636981       | 0              | 0              | 
| 14             | 1.33826        | 1.48629        | 0              | 0              | 
| 15             | 1.84011        | 2.04365        | 0              | 0              | 
| 16             | 3.34565        | 3.71572        | 0              | 0              | 
| 17             | 0.0882906      | 0.27173        | 0              | 0              | 
| 18             | 0.264872       | 0.815191       | 0              | 0              | 
| 19             | 0.618034       | 1.90211        | 0              | 0              | 
| 20             | 0.849797       | 2.61541        | 0              | 0              | 
| 21             | 1.54508        | 4.75528        | 0              | 0              | 
| 22             | -0.0298653     | 0.284149       | 0              | 0              | 
| 23             | -0.0895958     | 0.852447       | 0              | 0              | 
| 24             | -0.209057      | 1.98904        | 0              | 0              | 
| 25             | -0.287453      | 2.73494        | 0              | 0              | 
| 26             | -0.522642      | 4.97261        | 0              | 0              | 
| 27             | -0.142857      | 0.247436       | 0              | 0              | 
| 28             | -0.428571      | 0.742307       | 0              | 0              | 
| 29             | -1             | 1.73205        | 0              | 0              | 
| 30             | -1.375         | 2.38157        | 0              | 0              | 
| 31             | -2.5           | 4.33013        | 0              | 0              | 
| 32             | -0.231148      | 0.167939       | 0              | 0              | 
| 33             | -0.693443      | 0.503816       | 0              | 0              | 
| 34             | -1.61803       | 1.17557        | 0              | 0              | 
| 35             | -2.2248        | 1.61641        | 0              | 0              | 
| 36             | -4.04508       | 2.93893        | 0              | 0              | 
| 37             | -0.279471      | 0.0594033      | 0              | 0              | 
| 38             | -0.838412      | 0.17821        | 0              | 0              | 
| 39             | -1.9563        | 0.415823       | 0              | 0              | 
| 40             | -2.68991       | 0.571757       | 0              | 0              | 
| 41             | -4.89074       | 1.03956        | 0              | 0              | 
| 42             | -0.279471      | -0.0594033     | 0              | 0              | 
| 43             | -0.838412      | -0.17821       | 0              | 0              | 
| 44             | -1.9563        | -0.415823      | 0              | 0              | 
| 45             | -2.68991       | -0.571757      | 0              | 0              | 
| 46             | -4.89074       | -1.03956       | 0              | 0              | 
| 47             | -0.231148      | -0.167939      | 0              | 0              | 
| 48             | -0.693443      | -0.503816      | 0              | 0              | 
| 49             | -1.61803       | -1.17557       | 0              | 0              | 
| 50             | -2.2248        | -1.61641       | 0              | 0              | 
| 51             | -4.04508       | -2.93893       | 0              | 0              | 
| 52             | -0.142857      | -0.247436      | 0              | 0              | 
| 53             | -0.428571      | -0.742307      | 0              | 0              | 
| 54             | -1             | -1.73205       | 0              | 0              | 
| 55             | -1.375         | -2.38157       | 0              | 0              | 
| 56             | -2.5           | -4.33013       | 0              | 0              | 
| 57             | -0.0298653     | -0.284149      | 0              | 0              | 
| 58             | -0.0895958     | -0.852447      | 0              | 0              | 
| 59             | -0.209057      | -1.98904       | 0              | 0              | 
| 60             | -0.287453      | -2.73494       | 0              | 0              | 
| 61             | -0.522642      | -4.97261       | 0              | 0              | 
| 62             | 0.0882906      | -0.27173       | 0              | 0              | 
| 63             | 0.264872       | -0.815191      | 0              | 0              | 
| 64             | 0.618034       | -1.90211       | 0              | 0              | 
| 65             | 0.849797       | -2.61541       | 0              | 0              | 
| 66             | 1.54508        | -4.75528       | 0              | 0              | 
| 67             | 0.19118        | -0.212327      | 0              | 0              | 
| 68             | 0.573541       | -0.636981      | 0              | 0              | 
| 69             | 1.33826        | -1.48629       | 0              | 0              | 
| 70             | 1.84011        | -2.04365       | 0              | 0              | 
| 71             | 3.34565        | -3.71572       | 0              | 0              | 
| 72             | 0.261013       | -0.11621       | 0              | 0              | 
| 73             | 0.783039       | -0.348631      | 0              | 0              | 
| 74             | 1.82709        | -0.813473      | 0              | 0              | 
| 75             | 2.51225        | -1.11853       | 0              | 0              | 
| 76             | 4.56773        | -2.03368       | 0              | 0              | 
| 77             | 0              | 0              | 2.5            | 0              | 
| 78             | 0.285714       | 0              | 2.5            | 0              | 
| 79             | 0.857143       | 0              | 2.5            | -0.538705      | 
| 80             | 2              | 0              | 2.5            | 0              | 
| 81             | 2.75           | 0              | 2.5            | 0              | 
| 82             | 5              | 0              | 2.5            | 0              | 
| 83             | 0.261013       | 0.11621        | 2.5            | 0              | 
| 84             | 0.783039       | 0.348631       | 2.5            | 0              | 
| 85             | 1.82709        | 0.813473       | 2.5            | 0              | 
| 86             | 2.51225        | 1.11853        | 2.5            | 0              | 
| 87             | 4.56773        | 2.03368        | 2.5            | 0              | 
| 88             | 0.19118        | 0.212327       | 2.5            | 0              | 
| 89             | 0.573541       | 0.636981       | 2.5            | 0              | 
| 90             | 1.33826        | 1.48629        | 2.5            | 0              | 
| 91             | 1.84011        | 2.04365        | 2.5            | 0              | 
| 92             | 3.34565        | 3.71572        | 2.5            | 0              | 
| 93             | 0.0882906      | 0.27173        | 2.5            | 0              | 
| 94             | 0.264872       | 0.815191       | 2.5            | 0              | 
| 95             | 0.618034       | 1.90211        | 2.5            | 0              | 
| 96             | 0.849797       | 2.61541        | 2.5            | 0              | 
| 97             | 1.54508        | 4.75528        | 2.5            | 0              | 
| 98             | -0.0298653     | 0.284149       | 2.5            | 0              | 
| 99             | -0.0895958     | 0.852447       | 2.5            | 0              | 
| 100            | -0.209057      | 1.98904        | 2.5            | 0              | 
| 101            | -0.287453      | 2.73494        | 2.5            | 0              | 
| 102            | -0.522642      | 4.97261        | 2.5            | 0              | 
| 103            | -0.142857      | 0.247436       | 2.5            | 0              | 
| 104            | -0.428571      | 0.742307       | 2.5            | 0              | 
| 105            | -1             | 1.73205        | 2.5            | 0              | 
| 106            | -1.375         | 2.38157        | 2.5            | 0              | 
| 107            | -2.5           | 4.33013        | 2.5            | 0              | 
| 108            | -0.231148      | 0.167939       | 2.5            | 0              | 
| 109            | -0.693443      | 0.503816       | 2.5            | 0              | 
| 110            | -1.61803       | 1.17557        | 2.5            | 0              | 
| 111            | -2.2248        | 1.61641        | 2.5            | 0              | 
| 112            | -4.04508       | 2.93893        | 2.5            | 0              | 
| 113            | -0.279471      | 0.0594033      | 2.5            | 0              | 
| 114            | -0.838412      | 0.17821        | 2.5            | 0              | 
| 115            | -1.9563        | 0.415823       | 2.5            | 0              | 
| 116            | -2.68991       | 0.571757       | 2.5            | 0              | 
| 117            | -4.89074       | 1.03956        | 2.5            | 0              | 
| 118            | -0.279471      | -0.0594033     | 2.5            | 0              | 
| 119            | -0.838412      | -0.17821       | 2.5            | 0              | 
| 120            | -1.9563        | -0.415823      | 2.5            | 0              | 
| 121            | -2.68991       | -0.571757      | 2.5            | 0              | 
| 122            | -4.89074       | -1.03956       | 2.5            | 0              | 
| 123            | -0.231148      | -0.167939      | 2.5            | 0              | 
| 124            | -0.693443      | -0.503816      | 2.5            | 0              | 
| 125            | -1.61803       | -1.17557       | 2.5            | 0              | 
| 126            | -2.2248        | -1.61641       | 2.5            | 0              | 
| 127            | -4.04508       | -2.93893       | 2.5            | 0              | 
| 128            | -0.142857      | -0.247436      | 2.5            | 0              | 
| 129            | -0.428571      | -0.742307      | 2.5            | 0              | 
| 130            | -1             | -1.73205       | 2.5            | 0              | 
| 131            | -1.375         | -2.38157       | 2.5            | 0              | 
| 132            | -2.5           | -4.33013       | 2.5            | 0              | 
| 133            | -0.0298653     | -0.284149      | 2.5            | 0              | 
| 134            | -0.0895958     | -0.852447      | 2.5            | 0              | 
| 135            | -0.209057      | -1.98904       | 2.5            | 0              | 
| 136            | -0.287453      | -2.73494       | 2.5            | 0              | 
| 137            | -0.522642      | -4.97261       | 2.5            | 0              | 
| 138            | 0.0882906      | -0.27173       | 2.5            | 0              | 
| 139            | 0.264872       | -0.815191      | 2.5            | 0              | 
| 140            | 0.618034       | -1.90211       | 2.5            | 0              | 
| 141            | 0.849797       | -2.61541       | 2.5            | 0              | 
| 142            | 1.54508        | -4.75528       | 2.5            | 0              | 
| 143            | 0.19118        | -0.212327      | 2.5            | 0              | 
| 144            | 0.573541       | -0.636981      | 2.5            | 0              | 
| 145            | 1.33826        | -1.48629       | 2.5            | 0              | 
| 146            | 1.84011        | -2.04365       | 2.5            | 0              | 
| 147            | 3.34565        | -3.71572       | 2.5            | 0              | 
| 148            | 0.261013       | -0.11621       | 2.5            | 0              | 
| 149            | 0.783039       | -0.348631      | 2.5            | 0              | 
| 150            | 1.82709        | -0.813473      | 2.5            | 0              | 
| 151            | 2.51225        | -1.11853       | 2.5            | 0              | 
| 152            | 4.56773        | -2.03368       | 2.5            | 0              | 
| 153            | 0              | 0              | 5              | 0              | 
| 154            | 0.285714       | 0              | 5              | 0              | 
| 155            | 0.857143       | 0              | 5              | 0              | 
| 156            | 2              | 0              | 5              | 0              | 
| 157            | 2.75           | 0              | 5              | 0              | 
| 158            | 5              | 0              | 5              | 0              | 
| 159            | 0.261013       | 0.11621        | 5              | 0              | 
| 160            | 0.783039       | 0.348631       | 5              | 0              | 
| 161            | 1.82709        | 0.813473       | 5              | 0              | 
| 162            | 2.51225        | 1.11853        | 5              | 0              | 
| 163            | 4.56773        | 2.03368        | 5              | 0              | 
| 164            | 0.19118        | 0.212327       | 5              | 0              | 
| 165            | 0.573541       | 0.636981       | 5              | 0              | 
| 166            | 1.33826        | 1.48629        | 5              | 0              | 
| 167            | 1.84011        | 2.04365        | 5              | 0              | 
| 168            | 3.34565        | 3.71572        | 5              | 0              | 
| 169            | 0.0882906      | 0.27173        | 5              | 0              | 
| 170            | 0.264872       | 0.815191       | 5              | 0              | 
| 171            | 0.618034       | 1.90211        | 5              | 0              | 
| 172            | 0.849797       | 2.61541        | 5              | 0              | 
| 173            | 1.54508        | 4.75528        | 5              | 0              | 
| 174            | -0.0298653     | 0.284149       | 5              | 0              | 
| 175            | -0.0895958     | 0.852447       | 5              | 0              | 
| 176            | -0.209057      | 1.98904        | 5              | 0              | 
| 177            | -0.287453      | 2.73494        | 5              | 0              | 
